#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Apr  7 2348:35																											
S00084	1961 ZET	[Discoverer XXI]	1961 Feb 18	1961 Feb 20?	1961 Feb 20?	1961 Feb 20?	-	CORONA Early	-	-	M	D	IMG	S	-	-	US	A/AC.105/INF.001	92.6	234	559	80.7	1961 Feb 25	243	1053	80.74	-
S00087	1961 ETA	[Transit IIIB]	1961 Feb 22	1961 Mar 30	1961 Mar 30	1961 Mar 30	-	Transit	-	-	-	D	NAV	N	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00090	1961 EPS 4	SRV 520	1961 Feb 17	1961 Feb 21	1961 Feb 21	1961 Feb 21	-	SRV	-	-	D	D	RV	F	-	-	-	-	-	-	-	-	1961 Feb 25	395	790	80.91	-
S00091	1961 THE 1	Fourth Space Ship	1961 Mar  9	1961 Mar  9	1961 Mar  9	1961 Mar  9 0810	-	Vostok3A	-	-	M	C	SS	S	-	BIO	SU	A/AC.105/INF.002	-	184	249	64.9	1961 Mar  9	121	213	64.93	Dog
S00095	1961 IOT 1	Fifth Space Ship	1961 Mar 25	1961 Mar 25	1961 Mar 25	1961 Mar 25 0740	-	Vostok3A	-	-	M	C	SS	S	-	BIO	SU	A/AC.105/INF.002	-	178	247	64.9	1961 Mar 25	175	175	65.00	Dog
S00098	1961 KAP	[Explorer X]	1961 Mar 25	1961 Mar 27	1961 Mar 27	1961 Mar 27	-	ExplorerG	-	-	-	C	SCI	S	-	P/F*	US	A/AC.105/INF.001	-	-	-	-	1961 Mar 25	221	181529	32.89	Magnetic field probe
S00100	1961 LAM 1	[Discoverer XXIII]	1961 Apr  8	1961 Apr 10	1961 Apr 10	1961 Apr 10	-	CORONA ARGON	-	-	-	D	IMG	S	-	-	US	A/AC.105/INF.001	91.6	267	429	82.3	-	0	0	0.00	-
S00102	1961 LAM 2	SRV 521	1961 Apr  8	1961 Apr 10	1961 Apr 10	1961 Apr 10	-	SRV	-	-	D	D	RV	F	-	-	-	-	-	-	-	-	1961 Apr 24	202	1449	81.94	-
S00103	1961 MU 1	Vostok	1961 Apr 12	1961 Apr 12	1961 Apr 12	1961 Apr 12 0747	-	Vostok3A	-	-	D	C	SS	S	-	BIO	SU	A/AC.105/INF.002	-	181	327	65.0	1961 Apr 12	168	314	64.95	First piloted spaceship
S00107	1961 NU 1	[Explorer XI]	1961 Apr 27	1961 Dec  6	1961 Dec  6	1961 Dec  6	-	ExplorerG	-	-	-	C	AST	S	-	GRA*	US	A/AC.105/INF.001	107.8	488	1783	28.8	-	0	0	0.00	Gamma ray background
S00108	1961 XI 1	[Discoverer XXV]	1961 Jun 16	1961 Jun 19	1961 Jun 19	1961 Jun 19	-	CORONA Early	-	-	-	D	IMG	S	-	MM/P	[US]	-	-	-	-	-	-	0	0	0.00	"Micrometeors, particles"
S00110	1958 ETA	Pioneer 1	1958 Oct 11	1958 Oct 13	1958 Oct 13	1958 Oct 13 0359	-	Able	-	-	-	C	PLAN	F	-	PL	[US]	-	-	-	-	-	1958 Oct 11	-773	102462	35.14	Lunar probe
S00111	1958 THE	Pioneer 3	1958 Dec  6	1958 Dec  7	1958 Dec  7	1958 Dec  7 1930	-	Pioneer (Army)	-	-	-	C	PLAN	F	-	PL	[US]	-	-	-	-	-	-	0	0	0.00	Lunar probe
S00112	1959 MU 1	First Space Rocket	1959 Jan  2	1959 Jan  5	1959 Jan  5	1959 Jan  5	-	Luna	-	-	-	C	PLAN	S	-	PL	SU	A/AC.105/INF.002	-	-	-	-	-	0	0	0.00	First artificial planet
S00113	1959 NU 1	[Pioneer IV]	1959 Mar  3	1959 Mar  6	1959 Mar  6	1959 Mar  6 1515	-	Pioneer (Army)	-	-	-	C	PLAN	S	-	PL	US	A/AC.105/INF.001	-	-	-	-	-	0	0	0.00	Lunar probe
S00114	1959 XI 1	Second Space Rocket	1959 Sep 12	1959 Sep 13	1959 Sep 13	1959 Sep 13 2102	-	Luna	-	-	-	C	PLAN	S	-	PL	SU	A/AC.105/INF.002	-	-	-	-	-	0	0	0.00	First lunar impact
S00116	1961 OMI 1	[Transit IVA]	1961 Jun 29	1962 Jul  1	1962 Jul  1	1972?	-	Transit	-	-	-	D	NAV	S	-	-	US	A/AC.105/INF.001	103.8	880	998	66.8	1961 Jul  9	880	998	66.81	-
S00117	1961 OMI 2	[Greb 3 - Injun]	1961 Jun 29	1963 Mar  6	1963 Mar  6	1963 Mar  6	-	Injun	-	-	-	C	SCI	F	-	P*	US	A/AC.105/INF.001	103.8	882	997	66.8	1961 Jul  6	882	996	66.82	Radiation belts
S00160	1961 PI	[Discoverer XXVI]	1961 Jul  7	1961 Jul 10	1961 Jul 10	1961 Jul 10	-	CORONA Early	-	-	-	D	IMG	S	-	RFA/MM/P	[US]	-	-	-	-	-	-	0	0	0.00	Harvard Space Radio Proj.
S00162	1961 RHO 1	[Tiros III]	1961 Jul 12	1962 Feb 27	1962 Feb 27	1962 Feb 27	-	Tiros A	-	-	-	C	MET	S	-	-	US	A/AC.105/INF.001	100.3	735	821	47.9	1961 Jul 15	734	821	47.90	-
S00163	1961 SIG 1	[Midas III]	1961 Jul 12	1961 Jul 12	1961 Jul 12	1961 Jul 12	-	Midas ETS-II	-	-	-	D	EW	S	-	-	US	A/AC.105/INF.001	161.5	3344	3544	91.1	-	0	0	0.00	-
